Question,Notes,Status,Categories,Difficulty
21. Merge Two Sorted Lists,"1) Dummy node at the beginning to avoid edge cases. 2) If the pointer of one list reaches the end, just link the ""next"" to the value of the second list.",No help,Linked list,Easy
155. Min Stack,"1) Brute Force solution, I will do it later",No help,Stack,Easy
226. Invert Binary Tree,1) I should treat the base case node be the nullptr. 2) Do not worry about the null right/left-hand side when it is at the recursive step.,With help,Binary Tree,Easy
104. Maximum Depth of Binary Tree,Nothing ,No help,Binary Tree,Easy
206. Reverse Linked List,"1) The problem I faced was the return value is always the ""head"" of the list. However, we need the pointer of the last node to do the concatenation. The solution is easy, since all the values are passed in through pointers, and the memory address is consistent. Thus, we can access head->next, which is the tail of the list we want to concatenate.",With help,Linked list,Easy
217. Contains Duplicate,Introduced a data structure called Set. This data structure has O(1) complexity. It is used often in duplicate questions,With help,Hashmap,Easy
1. Two Sum,Typical hashmap question,With help,Hashmap,Easy
242. Valid Anagram,It is a hashmap question. I created two hashmaps to store the number of occurrences of the two strings. Note that I have to compare if the length of the two strings are the same beforehand,With help,Hashmap,Easy
49. Group Anagrams,"Hashmap question. A few things to point out. 1) hash key can be created by ourselves. In this case, we categorize the words by their unique hash key, which is an array of its char occurrence. We use ord(char) - ord('a') to figure out where in the hash key list the char is supposed to locate. 2) list cannot be used as a hash key, we used tuple(list) instead. 3) We can used hashmap.values() to get a LOL of the values of the hash map. 4) The way to initialize a list with 26 0s is newlist = [0] * 26.",With a lot of help. ,Hashmap,Medium
347. Top K Frequent Elements,"Hashmap question. It can be solved by heap as well. A better solution will be a O(N), using bucket sort algorithm. First I put the frequency into a hashmap. Then, I created a LOL, for which the index stands for the frequency, and the entry is a list of all numbers that have that frequency. Finally I traverse backwards and get the top K elements.",With a lot of help. ,Hashmap,Medium
238. Product of Array Except Self,Pure array question. I iterated the nums forward and backward and accumulated prefix and postfix and store them in the result array.,With a lot of help. ,Array,Medium
36. Valid Sudoku,"Create a HashSet and solve the column and row straightforwardly. For the cell check, just iterate thru it and also use a helper function.",No help,Hashmap,Medium
49. Group Anagrams,"It is a good idea to test 0, 1 and such special cases. Visualizing the data by drawing it out is a very good strategy.",With help,Array,Medium
125. Valid Palindrome,A Two pointer question. I learned isalnum() and .lower() functions. I also learned ord() which gives ASCII value that might be useful.,No help,Two pointers,Easy
167. Two Sum II - Input Array Is Sorted,Straightforward 2-pointer question. Starting from the beginning and the end and get closer to the middle.,No help,Two pointers,Medium
15. 3Sum,"Very challenging question, a few tricks to take notice of. 1) iterate the first element like normal, then the problem changed to a 2 Sum. 2) ""No duplicate"" is the hard part of this question. The first element iteration should not contain duplicates. The way to approach that is to jump the iterator when a series of the same element is occurring. For example [...,2,2,2,...], in this case, only the first 2 should be considered. 3) The ""two sum"" part should also test duplicate like [0,-1,-1,1,1]. It is very important to notice that we don't need to skip both left pointer and right pointer, one is enough. ",With a lot of help. ,Two pointers,Medium
11. Container With Most Water,"Very creative question. The approach is also two pointers. Since we want to maximize both height and width. So we set the two pointers at the two ends. And gradually get closer to the middle. We get closer to the middle by comparing which of the height at the two ends is smaller. Edit: I gave it a second try but still failed. It is easy to figure out that we need to move the two pointers in, but hard to think about how to move.",With a lot of help. ,Two pointers,Medium
121. Best Time to Buy and Sell Stock,"Sliding window. Two cases, if left < right, update left to the position of right, and right to the next of the new left. If right >= left, update right to the next.",With a lot of help. ,Sliding window,Easy
